pid,label,artist,_date,object_type,affiliation,department,area_of_research_,description,current_location,source,order,layout,collection,thumbnail,full,manifest
obj50,Sea Urchin,Kerri Julevich,2020,Simulation,Undergraduate Student,Chemistry and Biochemistry ,Chemistry,Crystals of a luminescent dye.,,,0,qatar_item,art2022,"/img/derivatives/iiif/images/obj50/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj50/full/full/0/default.jpg,/img/derivatives/iiif/obj50/manifest.json
obj51,Flight Data Visualization of COPA Airlines,Sarthak Sharma,2020,DSLR,Graduate Student,Scientific Computing,Data Science / Machine Learning / Artificial Intelligence,"This is an exercise in data visualization. It is important to be able to visualize data, to get important insights that may not be apparent when we look at just numbers. 
 
This visualization uses Machine Learning to predict flight delays in departure and arrival and, if possible, utilizing Artificial Intelligence to automate the flight scheduling process of COPA Airlines (which at present is done manually) to increase efficiency, reduce delays, and improve customer experience.

Data of some random flights of Copa Airlines is visualized as a network, where nodes represent the flights, and links or connections between the nodes represent passenger transfers between flights at PTY airport at Panama City. (PTY airport is the hub of COPA Airlines, so almost all flights of COPA Airlines have PTY airport as either origin or destination.)
 
Nodes (representing flights): All the nodes are in a circular arrangement. Each node is labeled with 6 letters of the flight’s origin-destination code. The first 3 letters denote the flight’s origin airport, and the last 3 letters denote the flight’s destination airport.

*	The node color is red for inbound flights (arriving at PTY airport), and green for outbound flights (departing from PTY airport). 

*	The node size is directly proportional to the flight distance (that is, distance between origin and destination airports). 

*	Links between nodes (representing passenger transfers at PTY airport, from inbound flights to outbound flights): 
*	The link color is directly proportional to the number of passengers transferring (varying from light for few passengers, to dark for many passengers).
*	Thickness is constant for all links.",,,1,qatar_item,art2022,"/img/derivatives/iiif/images/obj51/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj51/full/full/0/default.jpg,/img/derivatives/iiif/obj51/manifest.json
obj60,The Colors of Chemistry,Ashley Arcidiacono,2018,Other,Graduate Student,Chemistry and Biochemistry,Molecular Photophysics,"In the Hanson Group, we rely on dyes that absorb many colors of light. Here, you see a column (a separation technique that leverages polarity to separate side products in organic reactions) for a target BODIPY dye. BODIPY dyes are extremely fluorescent and can be used in many light harvesting applications. ",,,10,qatar_item,art2022,"/img/derivatives/iiif/images/obj60/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj60/full/full/0/default.jpg,/img/derivatives/iiif/obj60/manifest.json
obj61,Lights On,Grace McLeod,2020,Other,Graduate Student,Chemistry and Biochemistry,Materials Chemistry,"A photolysis reaction in progress, which could allow for light-controlled enantioenrichment of certain organic molecules. This could be a huge step toward  making new pharmaceuticals. ",,,11,qatar_item,art2022,"/img/derivatives/iiif/images/obj61/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj61/full/full/0/default.jpg,/img/derivatives/iiif/obj61/manifest.json
obj62,Dragonball Polymer,Drake Beery,2019,DSLR,Graduate Student,Chemistry and Biochemistry,Materials Chemistry,Purified intermediate of a stilbene monomer for photomechanical polymers.,,,12,qatar_item,art2022,"/img/derivatives/iiif/images/obj62/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj62/full/full/0/default.jpg,/img/derivatives/iiif/obj62/manifest.json
obj63,"1,4,5-Tryaryl Triazole",Yael Medley,2020,DSLR,Graduate Student,Chemistry,Organic / Physical Chemistry,"This is a 1,4,5-tryaryl triazole which is rotated to show that the aryl groups are twisted. This molecule can have two different hydrogen bonding conformations. The conformers fluoresce at different wavelengths and therefore have excitation dependent emission. This may be useful in creating white OLEDs. The structure shown is a non-hydrogen bonding conformation.",,,13,qatar_item,art2022,"/img/derivatives/iiif/images/obj63/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj63/full/full/0/default.jpg,/img/derivatives/iiif/obj63/manifest.json
obj64,‘Three-eyed’ Pancreatic Cancer Organoid,Olalekan Usman,2016,Cell Phone Camera,Graduate Student,Biomedical Sciences,Cancer Biology,This patient-derived organoid image was taken on a Zeiss Laser Scanning Confocal Microsocpe while investigating the role of mechanical cues on cell-cell junction proteins.,,,14,qatar_item,art2022,"/img/derivatives/iiif/images/obj64/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj64/full/full/0/default.jpg,/img/derivatives/iiif/obj64/manifest.json
obj65,Orbital Visualization of Thorium Complex,Marcus Liebenthal,2019,Cell Phone Camera,Graduate Student,Chemistry and Biochemistry,Quantum Chemistry,"This work demonstrates a way of treating nuclear waste used in power plants and factories is to bind chemicals to radioactive elements, making them easier to remove from toxic solutions. Shown here is a simulation of such a reaction, where Thorium (a radioactive element) is bound to three cyclopentadiene anions. Here I visualize an orbit of one of the electrons that help bind these molecules together, giving deeper insights into the underlying quantum mechanics. I used ray-tracing (a rendering technique used in modern video games) to give a more ‘life-like’ image of this bond.",,,15,qatar_item,art2022,"/img/derivatives/iiif/images/obj65/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj65/full/full/0/default.jpg,/img/derivatives/iiif/obj65/manifest.json
obj66,Bacterial Winter ,Jane Benoit,2019,DSLR,Graduate Student,Biological Science ,Cell and Molecular Biology ,A bacterial plate infected with unknown contaminates held up to a window to show the winter sky. The plate was made by a colleague in the lab and left in the refrigerator where it became infected. The infection makes an intricate pattern that is evocative of snowflakes. ,,,16,qatar_item,art2022,"/img/derivatives/iiif/images/obj66/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj66/full/full/0/default.jpg,/img/derivatives/iiif/obj66/manifest.json
obj67,Human Cardiomyocytes,Isabella Coscarella,2018,Cell Phone Camera,Graduate Student,Biomedical Sciences,Cardiac Muscle,"Human induced pluripotent stem cells (hiPSC) are differentiated into cardiomyocytes and cultured in our lab to study diseases of the heart muscle. Our study aims to aid discovery of new and better therapeutic treatments for patients with hypertrophic and dilated cardiomyopathies. The image shows an immunocytochemistry of mature human cardiomyocytes. Each color reveals a feature of these cells: DNA in blue, F-Actin in red, TNNT2 in magenta, and MLC2V in green.",,,17,qatar_item,art2022,"/img/derivatives/iiif/images/obj67/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj67/full/full/0/default.jpg,/img/derivatives/iiif/obj67/manifest.json
